"Target","Targeting","Type","Accession","arabidopsis_chloroplast_1","arabidopsis_chloroplast_2","arabidopsis_mito_1","arabidopsis_mito_2","arabidopsis_nuclear_1","arabidopsis_nuclear_2","Mitochondrial","Cytosolic","Chloroplast"
"M|P|N","Cyto+Organellar","AlaRS","AT1G50200.1",0,0,4,6,20,22,1,1,1
"M|P","Organellar","AlaRS","AT5G22800.1",30,2,0,0,20,10,1,0,1
"M|P|N","Cyto+Organellar","ArgRS","AT4G26300.1",11,5,5,3,4,4,1,1,1
"N","Cyto","ArgRS","AT1G66530.1",0,0,0,0,1,1,0,1,0
"M|P","Organellar","AsnRS","AT4G17300.1",7,1,3,5,7,2,1,0,1
"N","Cyto","AsnRS","AT5G56680.1",0,0,0,1,10,5,0,1,0
"M|P","Organellar","AspRS","AT4G33760.1",7,3,5,3,4,6,1,0,1
"N","Cyto","AspRS","AT4G31180.1",1,0,0,2,12,10,0,1,0
"N","Cyto","AspRS","AT4G26870.1",0,0,0,0,1,1,0,1,0
"M|P","Organellar","CysRS","AT2G31170.1",2,0,15,3,2,2,1,0,1
"N","Cyto","CysRS","AT5G38830.1",0,0,0,0,3,3,0,1,0
"N","Cyto","GlnRS","AT1G25350.1",0,0,0,0,5,1,0,1,0
"M|P","Organellar","GluRS","AT5G64050.1",13,5,1,1,8,2,1,0,1
"N","Cyto","GluRS","AT5G26710.1",0,0,0,0,10,8,0,1,0
"M|N","Cyto","GlyRS","AT1G29880.1",0,0,6,3,16,17,1,1,0
"M|P","Organellar","GlyRS","AT3G48110.1",12,3,13,8,10,5,1,0,1
"M|P","Organellar","HisRS","AT3G46100.1",5,1,1,2,2,0,1,0,1
"N","Cyto","HisRS","AT3G02760.1",0,0,0,0,4,2,0,1,0
"M|P","Organellar","IleRS","AT5G49030.1",16,2,8,2,8,6,1,0,1
"N","Cyto","IleRS","AT4G10320.1",0,0,0,1,12,11,0,1,0
"M|N","Cyto+Mito","LeuRS","AT1G09620.1",0,0,11,2,17,16,1,1,0
"P","Plastid","LeuRS","AT4G04350.1",5,1,0,0,5,2,0,0,1
"M|P","Organellar","LysRS","AT3G13490.1",3,0,9,2,2,0,1,0,1
"N","Cyto","LysRS","AT3G11710.1",0,1,1,0,12,7,0,1,0
"M|P","Organellar","MetRS","AT3G55400.1",10,0,5,4,3,2,1,0,1
"N","Cyto","MetRS","AT4G13780.1",0,0,0,0,7,7,0,1,0
"M|P","Organellar","PheRS","AT3G58140.1",15,4,8,10,11,12,1,0,1
"N","Cyto","PheRS","AT4G39280.1",0,0,0,0,1,4,0,1,0
"N","Cyto","PheRS","AT1G72550.1",0,0,1,0,8,6,0,1,0
"M|P","Organellar","ProRS","AT5G52520.1",13,7,7,5,9,8,1,0,1
"N","Cyto","ProRS","AT3G62120.1",0,1,1,1,10,7,0,1,0
"M|P","Organellar","SerRS","AT1G11870.1",8,1,3,2,3,2,1,0,1
"N","Cyto","SerRS","AT5G27470.1",0,0,1,0,9,12,0,1,0
"M|N","Cyto+Mito","ThrRS","AT5G26830.1",0,0,6,4,10,8,1,1,0
"M|P","Organellar","ThrRS","AT2G04842.1",11,0,0,0,7,6,1,0,1
"M|P","Organellar","TrpRS","AT2G25840.1",7,1,5,6,5,4,1,0,1
"N","Cyto","TrpRS","AT3G04600.1",0,1,0,0,4,3,0,1,0
"M|P","Organellar","TyrRS","AT3G02660.1",4,0,2,4,3,5,1,0,1
"N","Cyto","TyrRS","AT1G28350.1",0,0,0,0,1,2,0,1,0
"M|N","Cyto","ValRS","AT1G14610.1",0,0,4,2,12,9,1,1,0
"M|P","Organellar","ValRS","AT5G16715.1",12,0,1,0,9,4,1,0,1
